,CVE_ENT,CVE_MUN,POB
971,19,014,36088.0
972,19,013,9930.0
973,19,024,6282.0
974,19,007,14992.0
975,19,045,86766.0
976,19,009,122337.0
977,19,012,68747.0
978,19,038,67428.0
979,19,023,1808.0
980,19,029,7026.0
981,19,028,1386.0
982,19,030,3298.0
983,19,037,6048.0
984,19,050,1552.0
985,19,034,5119.0
986,19,015,1360.0
987,19,035,1483.0
988,19,033,84666.0
989,19,036,7652.0
990,19,032,5351.0
991,19,043,2377.0
992,19,047,16086.0
993,19,031,471523.0
994,19,027,1959.0
995,19,049,46784.0
996,19,025,102149.0
997,19,017,40903.0
998,19,051,3573.0
999,19,046,412199.0
1000,19,026,643143.0
1001,19,044,34709.0
1002,19,042,5389.0
1003,19,041,147624.0
1004,19,005,18030.0
1005,19,040,906.0
1006,19,004,35289.0
1007,19,003,1407.0
1008,19,002,3382.0
1009,20,084,4168.0
1010,20,481,1898.0
1011,20,517,6029.0
1012,20,524,327.0
1013,20,378,3720.0
1014,20,054,404.0
1015,20,542,887.0
1016,20,489,4909.0
1017,20,544,1032.0
1018,20,490,2974.0
1019,20,333,3294.0
1020,20,334,50541.0
1021,20,562,1682.0
1022,20,133,3934.0
1023,20,134,28500.0
1024,20,138,451.0
1025,20,149,2019.0
1026,20,161,2730.0
1027,20,159,5537.0
1028,20,437,9653.0
1029,20,441,9234.0
1030,20,446,6008.0
1031,20,447,17100.0
1032,20,469,34735.0
1033,20,511,3335.0
1034,20,513,9027.0
1035,20,278,38682.0
1036,20,457,3346.0
1037,20,163,1577.0
1038,20,166,11310.0
1039,20,237,1568.0
1040,20,506,798.0
1041,20,482,55840.0
1042,20,508,1618.0
1043,20,205,16989.0
1044,20,271,3194.0
1045,20,329,1153.0
1046,20,330,4296.0
1047,20,238,994.0
1048,20,545,10099.0
1049,20,546,6392.0
1050,20,547,1005.0
1051,20,170,3700.0
1052,20,230,932.0
1053,20,168,938.0
1054,20,184,159452.0
1055,20,185,8939.0
1056,20,186,524.0
1057,20,214,2033.0
1058,20,220,2692.0
1059,20,227,18339.0
1060,20,261,6932.0
1061,20,552,410.0
1062,20,262,991.0
1063,20,266,8551.0
1064,20,246,611.0
1065,20,277,12350.0
1066,20,550,5764.0
1067,20,253,2021.0
1068,20,254,3207.0
1069,20,272,6252.0
1070,20,273,3818.0
1071,20,275,7286.0
1072,20,551,30254.0
1073,20,357,848.0
1074,20,553,12067.0
1075,20,265,6711.0
1076,20,493,545.0
1077,20,318,49780.0
1078,20,327,15479.0
1079,20,554,5904.0
1080,20,555,3419.0
1081,20,556,306.0
1082,20,018,752.0
1083,20,036,5256.0
1084,20,338,10361.0
1085,20,344,2809.0
1086,20,366,3676.0
1087,20,377,10860.0
1088,20,451,1019.0
1089,20,404,761.0
1090,20,407,9578.0
1091,20,502,5089.0
1092,20,005,15261.0
1093,20,558,1376.0
1094,20,561,2954.0
1095,20,056,1446.0
1096,20,563,1245.0
1097,20,564,1195.0
1098,20,565,46464.0
